player,team,opp,date,pts,trb,ast,fg,fga,fg_pct,threeP,ft,fta,gmsc,plus_minus,win,pts_rank
Nikola Jokić,DEN,MIN,2025-04-01 00:00:00,61,10,10,18,29,0.621,6,19,24,52.7,2.0,0,1
De'Aaron Fox,SAC,MIN,2024-11-15 00:00:00,60,3,7,22,35,0.629,6,10,11,47.0,1.0,0,2
Giannis Antetokounmpo,MIL,DET,2024-11-13 00:00:00,59,14,7,21,34,0.618,1,16,17,54.2,7.0,1,3
Nikola Jokić,DEN,WAS,2024-12-07 00:00:00,56,16,8,22,39,0.564,3,9,13,43.1,-1.0,0,4
Stephen Curry,GSW,ORL,2025-02-27 00:00:00,56,4,3,16,25,0.64,12,12,12,46.2,15.0,1,4
Jalen Brunson,NYK,WAS,2024-12-28 00:00:00,55,3,9,18,31,0.581,3,16,17,43.9,1.0,1,6
Jamal Murray,DEN,POR,2025-02-12 00:00:00,55,4,5,20,36,0.556,7,8,9,41.7,26.0,1,6
Shai Gilgeous-Alexander,OKC,UTA,2025-01-22 00:00:00,54,8,5,17,35,0.486,3,17,18,43.2,9.0,1,8
Anthony Edwards,MIN,DET,2025-01-04 00:00:00,53,6,2,16,31,0.516,10,11,12,33.3,-3.0,0,9
Shai Gilgeous-Alexander,OKC,GSW,2025-01-29 00:00:00,52,3,4,16,29,0.552,2,18,21,37.0,1.0,0,10
Stephen Curry,GSW,MEM,2025-04-01 00:00:00,52,10,8,16,31,0.516,12,8,8,48.6,17.0,1,10
Shai Gilgeous-Alexander,OKC,HOU,2025-03-03 00:00:00,51,5,7,18,30,0.6,5,10,10,43.7,6.0,1,12
CJ McCollum,NOP,WAS,2025-01-03 00:00:00,50,3,2,18,27,0.667,10,4,4,39.2,21.0,1,13
James Harden,LAC,DET,2025-03-05 00:00:00,50,4,5,14,24,0.583,6,16,20,37.8,13.0,1,13
LaMelo Ball,CHO,MIL,2024-11-23 00:00:00,50,5,10,17,38,0.447,6,10,13,33.3,7.0,0,13
Paolo Banchero,ORL,IND,2024-10-28 00:00:00,50,13,9,16,26,0.615,3,15,22,44.0,3.0,1,13
Shai Gilgeous-Alexander,OKC,PHO,2025-02-05 00:00:00,50,8,5,18,29,0.621,3,11,12,43.7,42.0,1,13
Victor Wembanyama,SAS,WAS,2024-11-13 00:00:00,50,6,2,18,29,0.621,8,6,9,40.2,13.0,1,13
Anthony Edwards,MIN,CHI,2025-02-05 00:00:00,49,9,3,13,28,0.464,6,17,18,36.1,17.0,1,19
De'Aaron Fox,SAC,UTA,2024-11-16 00:00:00,49,3,9,16,30,0.533,3,14,19,36.4,1.0,1,19
Donovan Mitchell,CLE,IND,2025-05-06 00:00:00,48,5,9,15,30,0.5,1,17,21,38.1,13.0,0,21
Nikola Jokić,DEN,ATL,2024-12-08 00:00:00,48,14,8,17,29,0.586,3,11,13,43.9,25.0,1,21
Shai Gilgeous-Alexander,OKC,DET,2025-03-15 00:00:00,48,4,6,17,26,0.654,4,10,10,43.3,18.0,1,21
Devin Booker,PHO,UTA,2025-02-07 00:00:00,47,6,11,18,33,0.545,3,8,9,36.0,7.0,1,24
Jayson Tatum,BOS,CLE,2025-02-28 00:00:00,46,16,9,19,37,0.514,4,4,5,37.9,5.0,0,25
Karl-Anthony Towns,NYK,CHI,2024-11-13 00:00:00,46,10,3,18,30,0.6,6,4,8,33.1,4.0,0,25
Kyrie Irving,DAL,POR,2024-12-28 00:00:00,46,2,2,16,26,0.615,5,9,9,34.9,-17.0,0,25
Miles Bridges,CHO,CLE,2025-03-07 00:00:00,46,8,2,15,32,0.469,4,12,13,32.8,5.0,0,25
Nikola Jokić,DEN,SAS,2025-01-04 00:00:00,46,9,10,19,35,0.543,3,5,6,40.2,7.0,1,25
Quentin Grimes,PHI,HOU,2025-03-17 00:00:00,46,13,4,15,27,0.556,8,8,13,34.1,-6.0,0,25
Austin Reaves,LAL,IND,2025-02-08 00:00:00,45,7,7,14,26,0.538,4,13,13,37.2,14.0,1,31
CJ McCollum,NOP,UTA,2025-01-20 00:00:00,45,8,4,18,31,0.581,5,4,4,34.6,2.0,1,31
Jamal Murray,DEN,DAL,2025-01-14 00:00:00,45,2,6,18,26,0.692,5,4,4,35.8,14.0,1,31
Jordan Poole,WAS,CLE,2025-02-07 00:00:00,45,4,5,16,32,0.5,4,9,11,30.5,-2.0,0,31
Luka Dončić,DAL,GSW,2024-12-15 00:00:00,45,11,13,16,23,0.696,6,7,9,48.7,18.0,1,31
Luka Dončić,LAL,MIL,2025-03-13 00:00:00,45,11,3,14,27,0.519,7,10,12,32.6,-16.0,0,31
Luka Dončić,LAL,DAL,2025-04-09 00:00:00,45,8,6,16,28,0.571,7,6,9,37.0,26.0,1,31
Shai Gilgeous-Alexander,OKC,LAC,2024-11-11 00:00:00,45,3,9,13,21,0.619,4,15,16,46.5,8.0,1,31
Shai Gilgeous-Alexander,OKC,IND,2024-12-26 00:00:00,45,7,8,15,22,0.682,4,11,11,43.9,10.0,1,31
Tyrese Maxey,PHI,IND,2024-10-27 00:00:00,45,4,4,14,32,0.438,5,12,15,27.2,6.0,1,31
Anthony Edwards,MIN,CLE,2025-02-10 00:00:00,44,6,1,13,28,0.464,8,10,13,24.9,-12.0,0,41
Anthony Edwards,MIN,PHO,2025-03-02 00:00:00,44,5,7,12,22,0.545,6,14,14,40.8,22.0,1,41
Anthony Edwards,MIN,MEM,2025-04-10 00:00:00,44,5,3,13,19,0.684,7,11,13,34.6,15.0,1,41
Coby White,CHI,ORL,2025-03-06 00:00:00,44,5,1,16,28,0.571,7,5,6,32.4,2.0,1,41
Desmond Bane,MEM,SAC,2025-03-17 00:00:00,44,6,4,15,25,0.6,7,7,7,33.3,0.0,0,41
Devin Booker,PHO,MIN,2024-11-17 00:00:00,44,6,7,15,29,0.517,6,8,9,32.3,4.0,0,41
Ja Morant,MEM,CLE,2025-03-14 00:00:00,44,8,7,17,22,0.773,1,9,10,40.1,-6.0,0,41
Jalen Brunson,NYK,MIL,2025-01-12 00:00:00,44,5,6,16,26,0.615,5,7,8,37.9,23.0,1,41
Jaylen Brown,BOS,IND,2024-12-27 00:00:00,44,5,3,16,24,0.667,6,6,6,41.4,30.0,1,41
Karl-Anthony Towns,NYK,MIA,2024-10-30 00:00:00,44,13,2,17,25,0.68,4,6,6,35.8,15.0,1,41
Karl-Anthony Towns,NYK,CHI,2025-01-04 00:00:00,44,16,5,17,29,0.586,3,7,10,36.8,-5.0,0,41
Karl-Anthony Towns,NYK,ATL,2025-02-12 00:00:00,44,10,3,14,25,0.56,7,9,11,30.2,7.0,1,41
LaMelo Ball,CHO,ORL,2024-11-25 00:00:00,44,9,7,17,30,0.567,4,6,8,29.7,-2.0,0,41
Nikola Jokić,DEN,OKC,2025-05-13 00:00:00,44,15,5,17,25,0.68,5,5,5,42.1,-8.0,0,41
Quentin Grimes,PHI,GSW,2025-03-01 00:00:00,44,6,1,18,24,0.75,6,2,8,35.4,-5.0,1,41
Anthony Edwards,MIN,UTA,2025-04-13 00:00:00,43,6,5,15,31,0.484,7,6,7,33.5,20.0,1,56
Anthony Edwards,MIN,LAL,2025-04-27 00:00:00,43,9,6,12,23,0.522,5,14,17,37.9,3.0,1,56
CJ McCollum,NOP,SAC,2025-02-13 00:00:00,43,7,2,16,25,0.64,7,4,6,33.0,8.0,1,56
Cam Thomas,BRK,NYK,2024-11-15 00:00:00,43,2,3,16,22,0.727,7,4,6,32.8,-1.0,0,56
Damian Lillard,MIL,PHI,2025-02-09 00:00:00,43,7,8,14,27,0.519,8,7,7,35.4,3.0,1,56
Donovan Mitchell,CLE,IND,2025-05-09 00:00:00,43,9,5,14,29,0.483,5,10,14,32.3,35.0,1,56
Giannis Antetokounmpo,MIL,BOS,2024-11-10 00:00:00,43,13,5,18,29,0.621,1,6,10,34.9,-6.0,0,56
Jalen Brunson,NYK,IND,2025-05-21 00:00:00,43,1,5,15,25,0.6,1,12,14,25.5,-8.0,0,56
Jamal Murray,DEN,LAC,2025-04-29 00:00:00,43,5,7,17,26,0.654,8,1,1,39.9,17.0,1,56
James Harden,LAC,WAS,2024-11-27 00:00:00,43,4,7,13,22,0.591,7,10,11,37.9,25.0,1,56
Jayson Tatum,BOS,CHI,2024-12-21 00:00:00,43,15,10,16,24,0.667,9,2,2,39.7,13.0,1,56
Kevin Durant,PHO,DET,2024-12-21 00:00:00,43,5,6,14,26,0.538,4,11,11,28.9,-9.0,0,56
Kyrie Irving,DAL,DEN,2024-11-10 00:00:00,43,5,5,17,22,0.773,6,3,3,39.7,-6.0,0,56
Paolo Banchero,ORL,MIN,2025-03-14 00:00:00,43,10,3,16,32,0.5,2,9,11,29.9,-2.0,0,56
Pat Connaughton,MIL,DET,2025-04-13 00:00:00,43,11,5,16,29,0.552,5,6,9,34.3,7.0,1,56
Payton Pritchard,BOS,POR,2025-03-05 00:00:00,43,10,5,14,20,0.7,10,5,5,41.9,12.0,1,56
Trae Young,ATL,PHO,2025-01-14 00:00:00,43,3,5,13,31,0.419,6,11,14,26.7,10.0,1,56
Tyrese Maxey,PHI,LAL,2025-01-28 00:00:00,43,3,2,15,26,0.577,4,9,9,32.5,20.0,1,56
Zach LaVine,SAC,DET,2025-04-07 00:00:00,43,3,4,16,28,0.571,8,3,4,31.5,6.0,1,56
