player,month,month_num,games,avg_pts,avg_gmsc,avg_ts_pct,avg_plus_minus
Cade Cunningham,January,1,16,27.6,19.6,0.567,3.4
Cade Cunningham,February,2,11,25.9,21.4,0.573,10.2
Cade Cunningham,March,3,11,27.3,19.7,0.58,4.7
Cade Cunningham,April,4,9,28.8,21.5,0.579,0.9
Cade Cunningham,May,5,1,23.0,17.6,0.467,-2.0
Cade Cunningham,October,10,5,25.6,17.2,0.579,-3.2
Cade Cunningham,November,11,13,22.7,17.5,0.535,0.7
Cade Cunningham,December,12,10,24.8,19.8,0.556,-3.3
Damian Lillard,January,1,15,25.4,21.0,0.644,3.9
Damian Lillard,February,2,9,25.8,20.1,0.614,-0.4
Damian Lillard,March,3,10,23.0,19.1,0.628,1.6
Damian Lillard,April,4,2,10.5,6.5,0.367,4.5
Damian Lillard,October,10,5,23.2,18.0,0.554,-7.2
Damian Lillard,November,11,11,27.2,22.4,0.608,3.0
Damian Lillard,December,12,9,23.6,18.6,0.631,0.1
Giannis Antetokounmpo,January,1,15,30.5,24.9,0.603,8.3
Giannis Antetokounmpo,February,2,6,24.8,20.9,0.628,3.7
Giannis Antetokounmpo,March,3,15,28.3,25.4,0.625,3.3
Giannis Antetokounmpo,April,4,11,32.4,32.1,0.663,7.5
Giannis Antetokounmpo,October,10,5,30.4,24.0,0.654,-7.0
Giannis Antetokounmpo,November,11,12,34.0,29.2,0.614,3.6
Giannis Antetokounmpo,December,12,9,31.2,26.5,0.638,3.1
Jalen Brunson,January,1,14,27.4,21.5,0.61,0.4
Jalen Brunson,February,2,11,26.7,19.9,0.581,-4.2
Jalen Brunson,March,3,3,31.7,22.9,0.596,-3.7
Jalen Brunson,April,4,9,25.9,17.9,0.553,0.4
Jalen Brunson,May,5,13,29.3,20.0,0.598,-0.9
Jalen Brunson,October,10,4,22.8,15.2,0.561,4.5
Jalen Brunson,November,11,15,26.7,21.6,0.627,3.7
Jalen Brunson,December,12,14,24.4,19.0,0.605,9.5
Jayson Tatum,January,1,16,23.6,17.1,0.538,4.3
Jayson Tatum,February,2,11,28.3,22.1,0.588,5.6
Jayson Tatum,March,3,11,27.9,20.5,0.573,8.5
Jayson Tatum,April,4,8,26.5,21.2,0.563,11.4
Jayson Tatum,May,5,4,25.0,18.8,0.506,3.0
Jayson Tatum,October,10,5,30.2,24.3,0.634,10.4
Jayson Tatum,November,11,14,28.2,22.0,0.609,10.5
Jayson Tatum,December,12,11,27.5,21.5,0.599,7.7
Kevin Durant,January,1,15,26.1,21.0,0.658,3.4
Kevin Durant,February,2,10,25.5,20.1,0.665,-2.8
Kevin Durant,March,3,15,26.1,19.3,0.66,-2.5
Kevin Durant,October,10,5,26.8,20.0,0.648,-2.4
Kevin Durant,November,11,7,26.9,19.4,0.652,7.0
Kevin Durant,December,12,10,28.8,21.2,0.616,-6.2
LeBron James,January,1,14,24.6,21.3,0.631,1.6
LeBron James,February,2,11,29.3,24.2,0.657,6.5
LeBron James,March,3,10,21.6,18.1,0.529,-4.6
LeBron James,April,4,11,25.0,21.9,0.632,-2.5
LeBron James,October,10,5,21.2,16.0,0.587,-2.6
LeBron James,November,11,14,22.7,20.3,0.582,-5.0
LeBron James,December,12,10,25.6,21.2,0.571,-3.1
Nikola Jokić,January,1,14,27.0,30.2,0.69,9.4
Nikola Jokić,February,2,12,27.3,29.3,0.703,12.5
Nikola Jokić,March,3,10,30.0,28.4,0.624,2.2
Nikola Jokić,April,4,11,29.6,30.1,0.662,5.9
Nikola Jokić,May,5,9,26.7,21.7,0.585,-2.6
Nikola Jokić,October,10,4,31.5,31.1,0.655,3.8
Nikola Jokić,November,11,10,29.0,30.8,0.671,12.6
Nikola Jokić,December,12,14,32.2,29.8,0.652,6.9
Shai Gilgeous-Alexander,January,1,13,35.6,29.0,0.657,12.4
Shai Gilgeous-Alexander,February,2,13,31.7,26.4,0.648,14.0
Shai Gilgeous-Alexander,March,3,14,34.7,29.0,0.654,12.7
Shai Gilgeous-Alexander,April,4,8,29.3,22.2,0.539,7.1
Shai Gilgeous-Alexander,May,5,12,30.4,25.2,0.612,9.3
Shai Gilgeous-Alexander,June,6,7,30.3,21.8,0.564,1.1
Shai Gilgeous-Alexander,October,10,4,26.0,22.7,0.522,14.5
Shai Gilgeous-Alexander,November,11,15,30.9,24.9,0.643,9.7
Shai Gilgeous-Alexander,December,12,14,32.4,27.0,0.656,11.9
Victor Wembanyama,January,1,12,22.3,19.0,0.563,0.5
Victor Wembanyama,February,2,6,22.2,19.9,0.572,-3.2
Victor Wembanyama,October,10,5,18.2,15.3,0.524,2.4
Victor Wembanyama,November,11,11,25.7,21.3,0.595,2.5
Victor Wembanyama,December,12,12,28.5,24.6,0.626,6.3
