player,team,games_played,avg_pts,avg_reb,avg_ast,avg_ts_pct,avg_gmsc,avg_plus_minus,win_pct,mvp_composite_score,mvp_rank
Shai Gilgeous-Alexander,OKC,100,31.9,5.1,6.4,0.626,26.0,10.7,79.0,31.84,1
Nikola Jokić,DEN,84,29.0,12.7,9.9,0.659,29.0,6.9,63.1,29.88,2
Giannis Antetokounmpo,MIL,73,30.5,12.2,6.5,0.628,26.6,4.3,57.5,28.48,3
Jayson Tatum,BOS,80,27.0,8.9,5.9,0.577,20.7,7.6,71.3,27.31,4
Donovan Mitchell,CLE,80,24.6,4.5,4.9,0.573,18.1,7.1,75.0,26.2,5
Anthony Edwards,MIN,94,27.2,6.0,4.7,0.589,19.4,3.5,60.6,25.48,6
Jalen Brunson,NYK,83,26.7,3.0,7.2,0.598,20.0,1.8,60.2,25.28,7
Evan Mobley,CLE,79,18.4,9.2,3.0,0.632,17.0,7.1,79.7,25.13,8
Karl-Anthony Towns,NYK,90,23.8,12.5,2.7,0.617,19.4,4.4,62.2,25.04,9
Darius Garland,CLE,80,20.4,2.8,6.7,0.604,15.9,6.0,78.8,24.91,10
Jalen Williams,OKC,93,21.5,5.4,5.0,0.564,16.9,6.0,76.3,24.84,11
Kevin Durant,PHO,62,26.6,6.0,4.2,0.651,20.2,-0.6,53.2,24.77,12
Stephen Curry,GSW,79,24.5,4.6,5.9,0.615,18.8,4.1,59.5,24.77,13
Kawhi Leonard,LAC,44,22.1,6.2,3.4,0.593,17.3,6.6,65.9,24.46,14
LeBron James,LAL,75,24.5,7.9,8.0,0.601,20.8,-1.3,60.0,24.37,15
Kyrie Irving,DAL,49,25.0,4.9,4.7,0.595,18.9,2.7,57.1,24.29,16
Damian Lillard,MIL,61,24.4,4.6,7.0,0.612,19.7,1.3,55.7,24.13,17
Jaylen Brown,BOS,74,22.2,6.0,4.4,0.554,15.6,6.2,70.3,24.06,18
Cade Cunningham,DET,76,26.1,6.3,9.1,0.564,19.6,2.4,52.6,23.99,19
Jimmy Butler,GSW,41,19.1,5.9,5.9,0.607,19.1,3.5,68.3,23.93,20
James Harden,LAC,86,22.5,5.7,8.7,0.576,18.5,3.7,61.6,23.85,21
Jarrett Allen,CLE,90,13.6,9.7,1.9,0.726,15.0,6.5,76.7,23.74,22
Norman Powell,LAC,66,21.4,3.1,2.1,0.611,14.5,5.0,63.6,23.26,23
Victor Wembanyama,SAS,46,24.3,11.0,3.7,0.584,20.7,2.2,45.7,23.2,24
Jamal Murray,DEN,81,21.5,4.1,5.9,0.574,16.9,4.5,59.3,23.02,25
Derrick White,BOS,87,16.7,4.6,4.6,0.61,14.2,6.4,73.6,22.98,26
Alperen Şengün,HOU,82,19.5,10.6,5.0,0.543,17.0,5.5,65.9,22.95,27
Tyrese Haliburton,IND,95,18.4,4.0,9.2,0.582,18.5,3.7,64.2,22.94,28
Pascal Siakam,IND,101,20.3,6.8,3.4,0.597,16.4,4.1,61.4,22.91,29
Franz Wagner,ORL,66,24.1,5.7,4.8,0.552,17.4,3.3,53.0,22.9,30
Ja Morant,MEM,55,22.9,4.0,7.1,0.561,16.5,4.1,56.4,22.86,31
Chet Holmgren,OKC,54,15.3,8.4,1.6,0.581,13.3,8.5,77.8,22.78,32
Ivica Zubac,LAC,87,16.8,12.4,2.6,0.64,17.2,5.7,60.9,22.68,33
Devin Booker,PHO,75,25.6,4.1,7.1,0.584,19.2,-2.3,46.7,22.65,34
Domantas Sabonis,SAC,70,19.2,14.1,6.1,0.666,19.6,1.7,50.0,22.57,35
De'Aaron Fox,SAC,45,25.0,5.0,6.1,0.566,18.5,0.5,46.7,22.53,36
Tyler Herro,MIA,83,23.8,5.1,5.4,0.607,17.9,0.5,47.0,22.46,37
Austin Reaves,LAL,77,20.1,4.6,5.7,0.609,16.1,2.2,59.7,22.45,38
Jaren Jackson Jr.,MEM,79,22.1,5.7,2.1,0.59,15.7,3.6,54.4,22.43,39
Trae Young,ATL,78,24.3,3.1,11.5,0.558,19.3,0.0,46.2,22.32,40
Zach LaVine,CHI,42,24.0,4.8,4.5,0.625,17.6,0.2,42.9,22.17,41
Julius Randle,MIN,84,19.2,6.8,4.7,0.591,14.9,2.5,63.1,22.08,42
Paolo Banchero,ORL,52,26.1,7.6,4.8,0.542,18.1,-0.8,44.2,22.08,43
Tyrese Maxey,PHI,52,26.3,3.3,6.1,0.553,19.2,-2.4,38.5,21.71,44
DeMar DeRozan,SAC,78,22.3,3.9,4.4,0.568,16.8,1.2,48.7,21.62,45
Kristaps Porziņģis,BOS,53,17.0,6.3,1.8,0.576,13.6,3.4,67.9,21.56,46
Payton Pritchard,BOS,91,14.0,3.6,3.3,0.602,11.7,5.5,71.4,21.11,47
Ty Jerome,CLE,76,12.8,2.5,3.4,0.632,10.8,4.9,75.0,21.09,48
Aaron Gordon,DEN,63,15.3,5.6,3.2,0.626,13.1,5.1,61.9,21.08,49
Jalen Green,HOU,89,20.4,4.7,3.4,0.519,13.1,2.1,61.8,21.08,50
Isaiah Hartenstein,OKC,81,10.4,9.8,3.4,0.614,11.8,5.4,80.2,21.04,51
Christian Braun,DEN,93,15.0,5.4,2.6,0.648,13.3,5.0,59.1,20.96,52
Desmond Bane,MEM,75,19.2,6.1,5.3,0.585,15.3,1.2,52.0,20.82,53
OG Anunoby,NYK,92,17.7,4.8,2.0,0.569,13.6,2.9,59.8,20.81,54
Mikal Bridges,NYK,99,17.4,3.4,3.6,0.566,13.0,2.7,60.6,20.59,55
Michael Porter Jr.,DEN,91,16.8,6.8,1.9,0.596,13.0,2.7,59.3,20.59,56
Aaron Wiggins,OKC,88,11.7,3.9,1.7,0.58,9.1,6.9,78.4,20.46,57
LaMelo Ball,CHO,46,25.6,5.0,7.5,0.535,17.2,-2.5,34.8,20.44,58
Myles Turner,IND,94,15.3,6.2,1.5,0.62,12.2,2.8,61.7,20.43,59
Amen Thompson,HOU,76,14.2,8.1,3.8,0.595,14.3,3.6,60.5,20.38,60
Josh Hart,NYK,95,13.3,9.4,5.6,0.612,14.5,2.2,61.1,20.18,61
Nikola Vučević,CHI,74,18.4,10.1,3.5,0.615,16.6,-1.6,45.9,20.17,62
Isaiah Joe,OKC,85,9.8,2.6,1.5,0.598,7.5,7.1,81.2,19.98,63
Rudy Gobert,MIN,86,11.4,10.6,1.6,0.665,13.2,4.5,59.3,19.98,64
Coby White,CHI,75,20.3,3.7,4.5,0.588,14.4,-2.1,46.7,19.93,65
Jalen Duren,DET,81,12.2,10.6,2.8,0.717,13.8,0.3,54.3,19.76,66
Fred VanVleet,HOU,67,14.6,3.7,5.4,0.511,11.9,4.3,65.7,19.68,67
Malik Monk,SAC,63,17.6,3.8,5.7,0.549,12.9,1.8,54.0,19.66,68
Jrue Holiday,BOS,70,10.9,4.3,3.9,0.568,9.9,5.0,72.9,19.47,69
Bam Adebayo,MIA,84,18.0,9.7,4.3,0.549,16.1,-0.3,45.2,19.39,70
Aaron Nesmith,IND,67,12.3,4.6,1.2,0.623,9.4,4.4,64.2,19.35,71
Luke Kornet,BOS,72,6.7,5.6,1.6,0.674,8.8,6.5,73.6,19.29,72
RJ Barrett,TOR,58,21.1,6.3,5.4,0.548,14.9,-2.4,39.7,19.15,73
Jaxson Hayes,LAL,51,7.3,5.0,1.1,0.742,7.6,2.5,72.5,19.14,74
Bennedict Mathurin,IND,91,15.3,5.0,1.7,0.578,10.7,0.3,60.4,19.13,75
Max Strus,CLE,59,9.8,4.5,3.3,0.585,8.5,4.7,74.6,19.08,76
Naz Reid,MIN,94,13.7,5.8,2.2,0.591,10.6,3.6,58.5,19.06,77
Rui Hachimura,LAL,64,13.3,5.0,1.4,0.623,10.6,1.6,59.4,19.05,78
Daniel Gafford,DAL,58,12.2,6.8,1.4,0.713,12.4,0.8,50.0,19.01,79
Georges Niang,CLE,51,8.7,3.7,1.3,0.615,6.0,3.9,80.4,18.88,80
Cameron Johnson,BRK,57,18.8,4.3,3.4,0.635,14.8,-3.5,36.8,18.84,81
Luguentz Dort,OKC,95,9.5,4.1,1.4,0.552,7.4,6.3,76.8,18.84,81
Deni Avdija,POR,71,17.1,7.3,3.9,0.591,13.8,-1.1,45.1,18.84,83
Andrew Wiggins,GSW,43,17.6,4.6,2.4,0.556,13.2,-1.3,48.8,18.82,84
Jabari Smith Jr.,HOU,64,11.7,6.7,1.0,0.574,9.1,3.8,67.2,18.82,85
Malik Beasley,DET,88,16.1,2.6,1.7,0.582,10.5,1.8,52.3,18.77,86
Scottie Barnes,TOR,65,19.3,7.7,5.8,0.523,15.9,-2.0,40.0,18.7,87
Alex Caruso,OKC,73,8.1,3.0,2.5,0.556,8.2,5.5,78.1,18.68,88
Jaylin Williams,OKC,44,6.4,5.9,2.8,0.63,7.1,6.3,77.3,18.67,89
Brook Lopez,MIL,85,12.7,4.9,1.7,0.612,11.0,1.4,57.6,18.65,90
Sam Hauser,BOS,73,8.5,3.1,0.9,0.627,6.7,4.9,74.0,18.63,91
Dillon Brooks,HOU,82,13.9,3.6,1.7,0.547,8.9,2.6,63.4,18.59,92
Cason Wallace,OKC,90,7.7,3.2,2.5,0.559,7.7,5.7,77.8,18.46,93
Jaden McDaniels,MIN,97,12.6,5.7,1.9,0.566,10.6,2.6,59.8,18.46,93
Bobby Portis,MIL,55,13.7,8.4,2.1,0.535,11.1,2.1,58.2,18.37,95
Andrew Nembhard,IND,87,10.8,3.3,5.0,0.563,9.5,3.0,66.7,18.37,96
Tobias Harris,DET,79,13.9,6.1,2.1,0.567,11.4,2.1,53.2,18.32,97
Onyeka Okongwu,ATL,76,13.5,9.0,2.3,0.621,13.6,0.2,46.1,18.3,98
Al Horford,BOS,71,8.8,6.1,2.1,0.559,8.5,5.7,70.4,18.25,99
Shaedon Sharpe,POR,72,18.5,4.5,2.8,0.548,12.2,-1.9,44.4,18.23,100
Josh Giddey,CHI,71,14.7,8.1,7.1,0.563,14.7,-1.1,46.5,18.2,101
Trey Murphy III,NOP,52,21.6,5.2,3.6,0.6,16.3,-7.4,26.9,18.14,102
Brandon Clarke,MEM,61,8.7,5.3,1.0,0.633,8.5,3.4,65.6,18.13,103
Jonathan Kuminga,GSW,53,15.8,4.4,2.2,0.533,10.9,-0.9,54.7,18.13,104
