player,date,game_number,pts,gmsc,ts_pct,rolling_10g_pts,rolling_10g_gmsc,cumulative_pts
Anthony Edwards,2024-10-22 00:00:00,1,27,11.8,0.513,27.0,11.8,27
Anthony Edwards,2024-10-24 00:00:00,2,32,20.9,0.591,29.5,16.35,59
Anthony Edwards,2024-10-26 00:00:00,3,24,13.2,0.538,27.666666666666668,15.299999999999999,83
Anthony Edwards,2024-10-29 00:00:00,4,37,24.6,0.732,30.0,17.625,120
Anthony Edwards,2024-11-01 00:00:00,5,29,20.6,0.63,29.8,18.22,149
Anthony Edwards,2024-11-02 00:00:00,6,21,13.4,0.56,28.333333333333332,17.416666666666668,170
Anthony Edwards,2024-11-04 00:00:00,7,21,16.7,0.746,27.285714285714285,17.314285714285713,191
Anthony Edwards,2024-11-07 00:00:00,8,33,27.8,0.691,28.0,18.625,224
Anthony Edwards,2024-11-08 00:00:00,9,37,26.9,0.797,29.0,19.544444444444444,261
Anthony Edwards,2024-11-10 00:00:00,10,22,8.9,0.434,28.3,18.48,283
Anthony Edwards,2024-11-12 00:00:00,11,26,18.9,0.601,28.2,19.19,309
Anthony Edwards,2024-11-13 00:00:00,12,24,15.4,0.448,27.4,18.64,333
Anthony Edwards,2024-11-15 00:00:00,13,36,22.4,0.646,28.6,19.56,369
Anthony Edwards,2024-11-17 00:00:00,14,24,21.4,0.783,27.3,19.240000000000002,393
Anthony Edwards,2024-11-21 00:00:00,15,26,18.1,0.61,27.0,18.990000000000002,419
Anthony Edwards,2024-11-24 00:00:00,16,28,20.3,0.615,27.7,19.68,447
Anthony Edwards,2024-11-26 00:00:00,17,29,21.4,0.549,28.5,20.15,476
Anthony Edwards,2024-11-27 00:00:00,18,29,22.8,0.527,28.1,19.65,505
Anthony Edwards,2024-11-29 00:00:00,19,21,10.4,0.453,26.5,18.0,526
Anthony Edwards,2024-12-02 00:00:00,20,8,2.5,0.288,25.1,17.36,534
Anthony Edwards,2024-12-04 00:00:00,21,16,14.0,0.538,24.1,16.869999999999997,550
Anthony Edwards,2024-12-06 00:00:00,22,30,27.3,0.759,24.7,18.06,580
Anthony Edwards,2024-12-08 00:00:00,23,27,17.2,0.679,23.8,17.54,607
Anthony Edwards,2024-12-13 00:00:00,24,23,11.4,0.518,23.7,16.54,630
Anthony Edwards,2024-12-15 00:00:00,25,26,16.0,0.582,23.7,16.330000000000002,656
Anthony Edwards,2024-12-19 00:00:00,26,17,16.7,0.531,22.6,15.969999999999999,673
Anthony Edwards,2024-12-21 00:00:00,27,19,10.4,0.437,21.6,14.87,692
Anthony Edwards,2024-12-23 00:00:00,28,16,6.8,0.391,20.3,13.27,708
Anthony Edwards,2024-12-25 00:00:00,29,26,18.6,0.542,20.8,14.09,734
Anthony Edwards,2024-12-27 00:00:00,30,24,15.4,0.655,22.4,15.38,758
Anthony Edwards,2024-12-29 00:00:00,31,14,6.3,0.342,22.2,14.61,772
Anthony Edwards,2024-12-31 00:00:00,32,20,14.0,0.727,21.2,13.280000000000001,792
Anthony Edwards,2025-01-02 00:00:00,33,15,8.8,0.422,20.0,12.440000000000001,807
Anthony Edwards,2025-01-04 00:00:00,34,53,33.3,0.73,23.0,14.63,860
Anthony Edwards,2025-01-06 00:00:00,35,37,28.2,0.601,24.1,15.85,897
Anthony Edwards,2025-01-07 00:00:00,36,32,22.9,0.677,25.6,16.47,929
Anthony Edwards,2025-01-09 00:00:00,37,21,14.3,0.457,25.8,16.86,950
Anthony Edwards,2025-01-11 00:00:00,38,15,7.0,0.466,25.7,16.880000000000003,965
Anthony Edwards,2025-01-13 00:00:00,39,41,32.5,0.719,27.2,18.27,1006
Anthony Edwards,2025-01-15 00:00:00,40,28,17.6,0.587,27.6,18.490000000000002,1034
Anthony Edwards,2025-01-17 00:00:00,41,36,29.7,0.791,29.8,20.830000000000002,1070
Anthony Edwards,2025-01-18 00:00:00,42,28,19.5,0.568,30.6,21.380000000000003,1098
Anthony Edwards,2025-01-20 00:00:00,43,32,18.9,0.594,32.3,22.39,1130
Anthony Edwards,2025-01-22 00:00:00,44,21,13.5,0.466,29.1,20.41,1151
Anthony Edwards,2025-01-25 00:00:00,45,34,25.5,0.687,28.8,20.14,1185
Anthony Edwards,2025-01-27 00:00:00,46,23,13.8,0.447,27.9,19.23,1208
Anthony Edwards,2025-01-29 00:00:00,47,33,25.6,0.689,29.1,20.36,1241
Anthony Edwards,2025-01-30 00:00:00,48,36,35.6,0.854,31.2,23.22,1277
Anthony Edwards,2025-02-03 00:00:00,49,21,12.6,0.461,29.2,21.23,1298
Anthony Edwards,2025-02-05 00:00:00,50,49,36.1,0.682,31.3,23.080000000000002,1347
Anthony Edwards,2025-02-06 00:00:00,51,41,30.1,0.649,31.8,23.12,1388
Anthony Edwards,2025-02-10 00:00:00,52,44,24.9,0.652,33.4,23.66,1432
Anthony Edwards,2025-02-12 00:00:00,53,28,13.4,0.398,33.0,23.11,1460
Anthony Edwards,2025-02-13 00:00:00,54,23,20.4,0.504,33.2,23.8,1483
Anthony Edwards,2025-02-21 00:00:00,55,37,18.8,0.508,33.5,23.130000000000003,1520
Anthony Edwards,2025-02-23 00:00:00,56,29,21.6,0.571,34.1,23.91,1549
Anthony Edwards,2025-02-24 00:00:00,57,17,12.3,0.438,32.5,22.580000000000002,1566
Anthony Edwards,2025-02-27 00:00:00,58,18,17.9,0.654,30.7,20.81,1584
Anthony Edwards,2025-03-02 00:00:00,59,44,40.8,0.781,33.0,23.630000000000003,1628
Anthony Edwards,2025-03-04 00:00:00,60,18,11.3,0.639,29.9,21.15,1646
Anthony Edwards,2025-03-05 00:00:00,61,29,24.4,0.616,28.7,20.58,1675
Anthony Edwards,2025-03-07 00:00:00,62,13,12.9,0.553,25.6,19.380000000000003,1688
Anthony Edwards,2025-03-09 00:00:00,63,25,19.9,0.766,25.3,20.029999999999998,1713
Anthony Edwards,2025-03-12 00:00:00,64,29,19.8,0.599,25.9,19.97,1742
Anthony Edwards,2025-03-14 00:00:00,65,28,19.5,0.622,25.0,20.04,1770
Anthony Edwards,2025-03-16 00:00:00,66,41,29.3,0.692,26.2,20.81,1811
Anthony Edwards,2025-03-17 00:00:00,67,38,28.0,0.579,28.3,22.38,1849
Anthony Edwards,2025-03-19 00:00:00,68,29,22.0,0.548,29.4,22.79,1878
Anthony Edwards,2025-03-21 00:00:00,69,17,14.5,0.612,26.7,20.16,1895
Anthony Edwards,2025-03-24 00:00:00,70,17,6.7,0.418,26.6,19.7,1912
Anthony Edwards,2025-03-28 00:00:00,71,20,14.4,0.526,25.7,18.7,1932
Anthony Edwards,2025-03-30 00:00:00,72,25,15.3,0.602,26.9,18.94,1957
Anthony Edwards,2025-04-01 00:00:00,73,34,23.9,0.605,27.8,19.34,1991
Anthony Edwards,2025-04-03 00:00:00,74,28,24.2,0.814,27.7,19.78,2019
Anthony Edwards,2025-04-05 00:00:00,75,37,28.4,0.754,28.6,20.669999999999998,2056
Anthony Edwards,2025-04-08 00:00:00,76,25,13.5,0.441,27.0,19.09,2081
Anthony Edwards,2025-04-10 00:00:00,77,44,34.6,0.89,27.6,19.75,2125
Anthony Edwards,2025-04-11 00:00:00,78,9,8.8,0.409,25.6,18.43,2134
Anthony Edwards,2025-04-13 00:00:00,79,43,33.5,0.631,28.2,20.330000000000002,2177
Anthony Edwards,2025-04-19 00:00:00,80,22,17.7,0.481,28.7,21.43,2199
Anthony Edwards,2025-04-22 00:00:00,81,25,13.0,0.526,29.2,21.29,2224
Anthony Edwards,2025-04-25 00:00:00,82,29,24.3,0.558,29.6,22.19,2253
Anthony Edwards,2025-04-27 00:00:00,83,43,37.9,0.705,30.5,23.59,2296
Anthony Edwards,2025-04-30 00:00:00,84,15,14.8,0.333,29.2,22.65,2311
Anthony Edwards,2025-05-06 00:00:00,85,23,17.1,0.475,27.8,21.52,2334
Anthony Edwards,2025-05-08 00:00:00,86,20,21.0,0.605,27.3,22.27,2354
Anthony Edwards,2025-05-10 00:00:00,87,36,22.5,0.571,26.5,21.06,2390
Anthony Edwards,2025-05-12 00:00:00,88,30,21.0,0.672,28.6,22.28,2420
Anthony Edwards,2025-05-14 00:00:00,89,22,20.1,0.693,26.5,20.94,2442
Anthony Edwards,2025-05-20 00:00:00,90,18,10.0,0.56,26.1,20.169999999999998,2460
Anthony Edwards,2025-05-22 00:00:00,91,32,25.4,0.526,26.8,21.41,2492
Anthony Edwards,2025-05-24 00:00:00,92,30,27.0,0.839,26.9,21.68,2522
Anthony Edwards,2025-05-26 00:00:00,93,16,7.7,0.498,24.2,18.66,2538
