player,team,games_played,avg_pts,avg_reb,avg_ast,avg_stl,avg_blk,avg_tov,avg_fg_pct,avg_3p_pct,avg_ts_pct,avg_gmsc,avg_plus_minus,win_pct,pts_rank,gmsc_rank,ts_rank
Shai Gilgeous-Alexander,OKC,100,31.9,5.1,6.4,1.7,1.0,2.5,0.511,0.372,0.626,26.0,10.7,79.0,1,3,31
Giannis Antetokounmpo,MIL,73,30.5,12.2,6.5,0.9,1.2,3.2,0.606,0.103,0.628,26.6,4.3,57.5,2,2,29
Nikola Jokić,DEN,84,29.0,12.7,9.9,1.8,0.7,3.4,0.569,0.426,0.659,29.0,6.9,63.1,3,1,11
Anthony Edwards,MIN,94,27.2,6.0,4.7,1.1,0.7,3.1,0.448,0.382,0.589,19.4,3.5,60.6,4,12,89
Jayson Tatum,BOS,80,27.0,8.9,5.9,1.2,0.6,2.9,0.445,0.346,0.577,20.7,7.6,71.3,5,5,113
Jalen Brunson,NYK,83,26.7,3.0,7.2,0.8,0.2,2.6,0.478,0.351,0.598,20.0,1.8,60.2,6,8,69
Kevin Durant,PHO,62,26.6,6.0,4.2,0.8,1.2,3.1,0.535,0.466,0.651,20.2,-0.6,53.2,7,7,13
Tyrese Maxey,PHI,52,26.3,3.3,6.1,1.8,0.4,2.4,0.427,0.326,0.553,19.2,-2.4,38.5,8,15,170
Cade Cunningham,DET,76,26.1,6.3,9.1,1.1,0.8,4.5,0.47,0.338,0.564,19.6,2.4,52.6,9,10,143
Paolo Banchero,ORL,52,26.1,7.6,4.8,0.8,0.6,3.0,0.443,0.313,0.542,18.1,-0.8,44.2,9,23,195
Devin Booker,PHO,75,25.6,4.1,7.1,0.9,0.2,2.9,0.453,0.299,0.584,19.2,-2.3,46.7,11,15,100
LaMelo Ball,CHO,46,25.6,5.0,7.5,1.2,0.3,3.6,0.4,0.335,0.535,17.2,-2.5,34.8,11,29,205
Kyrie Irving,DAL,49,25.0,4.9,4.7,1.3,0.5,2.2,0.476,0.38,0.595,18.9,2.7,57.1,13,18,77
De'Aaron Fox,SAC,45,25.0,5.0,6.1,1.5,0.4,3.0,0.468,0.338,0.566,18.5,0.5,46.7,13,20,138
Donovan Mitchell,CLE,80,24.6,4.5,4.9,1.4,0.3,2.1,0.441,0.353,0.573,18.1,7.1,75.0,15,23,122
LeBron James,LAL,75,24.5,7.9,8.0,1.1,0.6,3.6,0.51,0.347,0.601,20.8,-1.3,60.0,16,4,67
Stephen Curry,GSW,79,24.5,4.6,5.9,1.1,0.5,2.9,0.448,0.395,0.615,18.8,4.1,59.5,16,19,45
Damian Lillard,MIL,61,24.4,4.6,7.0,1.2,0.2,2.8,0.434,0.366,0.612,19.7,1.3,55.7,18,9,50
Victor Wembanyama,SAS,46,24.3,11.0,3.7,1.1,3.8,3.2,0.467,0.339,0.584,20.7,2.2,45.7,19,5,100
Trae Young,ATL,78,24.3,3.1,11.5,1.2,0.2,4.6,0.406,0.325,0.558,19.3,0.0,46.2,19,14,162
Franz Wagner,ORL,66,24.1,5.7,4.8,1.3,0.4,2.3,0.461,0.254,0.552,17.4,3.3,53.0,21,27,172
Zach LaVine,CHI,42,24.0,4.8,4.5,0.9,0.2,2.9,0.497,0.428,0.625,17.6,0.2,42.9,22,26,33
Karl-Anthony Towns,NYK,90,23.8,12.5,2.7,0.9,0.7,2.6,0.515,0.387,0.617,19.4,4.4,62.2,23,12,40
Tyler Herro,MIA,83,23.8,5.1,5.4,0.9,0.2,2.6,0.474,0.374,0.607,17.9,0.5,47.0,23,25,62
Ja Morant,MEM,55,22.9,4.0,7.1,1.2,0.3,3.6,0.456,0.296,0.561,16.5,4.1,56.4,25,37,154
James Harden,LAC,86,22.5,5.7,8.7,1.5,0.7,4.2,0.41,0.344,0.576,18.5,3.7,61.6,26,20,115
DeMar DeRozan,SAC,78,22.3,3.9,4.4,0.8,0.4,1.4,0.479,0.302,0.568,16.8,1.2,48.7,27,35,131
Jaylen Brown,BOS,74,22.2,6.0,4.4,1.1,0.3,2.7,0.463,0.32,0.554,15.6,6.2,70.3,28,45,168
Kawhi Leonard,LAC,44,22.1,6.2,3.4,1.5,0.5,2.0,0.503,0.392,0.593,17.3,6.6,65.9,29,28,80
Jaren Jackson Jr.,MEM,79,22.1,5.7,2.1,1.2,1.5,2.1,0.486,0.379,0.59,15.7,3.6,54.4,29,44,87
Trey Murphy III,NOP,52,21.6,5.2,3.6,1.1,0.8,2.0,0.455,0.358,0.6,16.3,-7.4,26.9,31,39,68
Jamal Murray,DEN,81,21.5,4.1,5.9,1.3,0.5,2.2,0.462,0.359,0.574,16.9,4.5,59.3,32,33,118
Jalen Williams,OKC,93,21.5,5.4,5.0,1.6,0.6,2.1,0.473,0.327,0.564,16.9,6.0,76.3,32,33,143
Norman Powell,LAC,66,21.4,3.1,2.1,1.2,0.2,1.8,0.483,0.417,0.611,14.5,5.0,63.6,34,55,53
RJ Barrett,TOR,58,21.1,6.3,5.4,0.8,0.3,2.8,0.471,0.362,0.548,14.9,-2.4,39.7,35,50,182
CJ McCollum,NOP,56,21.1,3.8,4.1,0.8,0.4,1.9,0.426,0.338,0.528,14.1,-5.0,30.4,35,60,215
Jordan Poole,WAS,68,20.5,3.0,4.5,1.3,0.4,3.0,0.42,0.367,0.579,13.6,-8.2,22.1,37,65,109
Darius Garland,CLE,80,20.4,2.8,6.7,1.2,0.1,2.5,0.473,0.392,0.604,15.9,6.0,78.8,38,42,65
Jalen Green,HOU,89,20.4,4.7,3.4,0.8,0.3,2.4,0.406,0.323,0.519,13.1,2.1,61.8,38,75,229
Pascal Siakam,IND,101,20.3,6.8,3.4,1.0,0.6,1.4,0.516,0.372,0.597,16.4,4.1,61.4,40,38,73
Miles Bridges,CHO,64,20.3,7.5,3.9,0.7,0.7,2.1,0.427,0.312,0.536,15.0,-4.0,25.0,40,48,203
Coby White,CHI,75,20.3,3.7,4.5,0.9,0.2,2.5,0.444,0.362,0.588,14.4,-2.1,46.7,40,57,91
Austin Reaves,LAL,77,20.1,4.6,5.7,1.1,0.3,2.5,0.457,0.368,0.609,16.1,2.2,59.7,43,40,58
Alperen Şengün,HOU,82,19.5,10.6,5.0,1.2,0.8,2.5,0.493,0.185,0.543,17.0,5.5,65.9,44,31,191
Anfernee Simons,POR,69,19.5,2.7,4.9,0.9,0.1,2.1,0.412,0.343,0.543,13.3,-3.2,39.1,44,69,191
Scottie Barnes,TOR,65,19.3,7.7,5.8,1.4,1.0,2.8,0.445,0.271,0.523,15.9,-2.0,40.0,46,42,224
