team,players_used,game_logs,avg_pts_per_log,avg_fg_pct,avg_3p_pct,avg_ts_pct,avg_gmsc,win_pct
CLE,21,844,12.8,0.49,0.324,0.61,10.9,75.7
IND,18,961,12.5,0.483,0.328,0.592,10.5,62.2
PHO,18,733,12.3,0.481,0.289,0.586,10.2,43.0
DEN,16,768,14.5,0.491,0.327,0.586,12.4,60.0
BOS,18,765,13.6,0.464,0.304,0.586,11.4,72.9
MIN,14,793,13.5,0.469,0.319,0.584,11.0,59.3
MEM,20,845,12.4,0.479,0.303,0.584,10.2,56.6
SAC,20,663,13.9,0.476,0.322,0.583,11.4,48.9
MIL,22,767,12.9,0.466,0.33,0.583,10.5,56.5
DAL,24,747,12.6,0.489,0.278,0.582,10.3,48.1
DET,19,826,12.0,0.484,0.251,0.579,9.7,52.3
OKC,17,956,12.8,0.469,0.323,0.578,11.0,79.1
NYK,17,777,14.4,0.48,0.305,0.577,12.0,61.3
LAL,22,740,12.9,0.474,0.287,0.577,10.7,58.5
MIA,20,765,12.5,0.464,0.334,0.575,10.3,44.4
LAC,21,795,12.2,0.472,0.301,0.575,10.1,59.2
ATL,21,757,12.9,0.472,0.302,0.575,10.8,48.0
SAS,19,763,11.9,0.465,0.305,0.572,10.0,41.3
CHI,20,765,12.4,0.46,0.343,0.572,10.3,45.6
UTA,20,780,11.7,0.456,0.277,0.558,9.0,21.0
PHI,29,709,12.4,0.453,0.278,0.558,9.8,29.3
TOR,23,774,11.6,0.455,0.29,0.55,9.2,36.7
HOU,18,753,13.0,0.457,0.277,0.549,10.4,61.4
GSW,21,913,11.4,0.443,0.28,0.546,9.5,56.3
POR,18,707,12.5,0.451,0.285,0.545,9.8,42.6
NOP,25,737,12.0,0.446,0.264,0.54,9.6,25.8
ORL,16,814,11.0,0.438,0.274,0.539,8.8,49.3
BRK,22,778,11.0,0.431,0.271,0.538,8.5,31.4
WAS,23,721,11.8,0.434,0.279,0.536,9.0,21.9
CHO,26,777,10.9,0.425,0.261,0.525,8.3,22.8
